88768,21670,17182
59266,72409,68463
74269,62199,87683
61314,55676,94300
78826,70728,96728
8622,70978,49192
24003,35932,11663
29641,76182,22748
3923,58104,75647
2175,63407,89489
82091,41362,44978
55523,10336,37287
10976,41758,21164
1121,8357,50501
39986,67535,98437
44162,37238,39726
36820,51223,25680
73678,35762,18586
22536,70319,93283
29899,63564,74619
36878,1585,86452
33721,81882,65155
62987,87850,30187
46205,13688,18417
51801,33804,91078
56632,75159,77102
44778,26577,20474
53621,54612,11302
9771,82294,29014
55866,76704,36667
52159,62642,35250
84341,32204,61468
88784,98767,57393
8988,17002,71350
29949,60475,47884
84861,87856,75491
43530,83932,80792
41695,22763,12270
72585,93986,38810
48081,53061,47906
88317,4323,56694
74886,67811,15908
74213,4742,17482
85305,71343,18796
9705,26275,82136
80627,93715,34372
53502,64803,98808
25590,84138,75581
9591,50846,21448
74875,49417,95373
71241,53177,65917
66224,99219,9336
87409,17680,92939
49625,75418,49272
35994,57098,8883
72042,70679,16645
5101,89710,84889
46153,74067,98363
17153,80713,62315
13330,89729,74735
23370,78985,32821
30263,40891,76726
78025,71676,71637
90166,71160,74525
95796,13446,73765
15623,96607,48287
99746,52991,7448
54918,24574,17143
87989,29333,35538
12811,30089,29417
84336,95148,64722
71527,99667,12988
92602,50126,4665
59676,99730,80503
19525,58824,34634
39485,66336,46700
13818,43951,4064
17856,16131,1099
25354,37524,13357
28443,32074,19362
34146,42819,57323
35213,50036,74954
22498,93568,17235
74994,58563,63579
75166,31596,929
63784,44784,56419
2696,468,45906
62147,37067,64938
56308,37191,57419
56353,16261,47226
4172,25417,74040
52451,37745,61759
11826,51262,3432
15545,61079,53902
9198,32513,43965
62912,3729,35726
76896,27036,57290
40600,66505,29176
70380,90002,72186
31144,8071,30154
15995,94160,95237
66649,85843,16509
18589,83084,5190
22313,94889,26459
68282,18536,55862
56914,58692,32909
13777,81476,57342
2155,48240,88551
89489,97678,54620
32206,75740,31476
24022,82103,15667
56670,59878,19680
2289,69447,48775
76204,7663,88814
84812,40317,93038
70200,35004,16968
38168,33105,35287
66069,93084,12796
25635,46307,79159
93924,91531,10177
84894,39226,46276
52231,53509,79765
2928,79670,64870
1834,80249,17614
2261,18432,18209
59806,26248,95720
45141,47067,72880
63792,10523,82722
53509,50234,39909
47661,68650,59253
67448,42874,1144
80293,87585,88628
24884,51325,42309
35174,37902,53105
20143,67570,93730
53037,5031,8280
86616,8726,39360
66281,26094,41387
88325,45078,79201
83947,40296,87999
36529,35641,98087
5204,76636,28174
2485,29684,25006
44018,45711,90266
74517,67210,38016
57886,8005,85110
64382,21510,26212
66327,35391,24847
80670,87418,91460
51707,67679,67456
53355,82612,91601
45422,34666,68400
20710,27081,99901
27325,62359,63865
91110,83925,84635
61142,78176,33247
24859,53270,55048
49202,480,11188
93253,16666,81587
49169,32791,72878
86079,82048,91584
3503,15921,15140
81345,75180,95872
65459,48353,61278
92815,55445,1107
56688,54866,56359
27077,96031,93767
6953,42356,16279
52701,88980,10494
7830,24163,1943
30291,9597,60800
68404,42108,44729
15997,93543,74011
99654,53252,49892
23710,94349,24462
13734,1098,14570
70383,23105,85794
4659,82976,90225
51366,93928,62910
91237,84989,31149
37980,82979,70872
74903,94088,96101
85437,66256,32214
13728,70373,42010
57479,29391,49545
18713,43131,52593
51269,40250,88740
87611,97582,75445
11757,94747,56391
30417,11269,73591
95335,96705,16519
7013,73048,47445
57588,21016,94318
66315,56448,49408
1397,7956,51041
20086,80060,43219
8627,79893,2429
1520,15641,52192
80504,37981,15885
31864,56833,91668
5882,99407,48809
68420,42486,13460
98426,47305,12841
80615,62651,32293
